320804,-67,-1326,22,-60,-98,-76,176,7761,-194,-127,,1327.873864
320813,-69,-1341,53,-45,-71,-85,176,7761,-194,-127,,1343.819556
320819,-69,-1341,53,-56,-65,-90,167,7775,-210,-127,,1343.819556
320845,-65,-1323,-39,-78,-55,-97,177,7764,-221,-127,,1325.1698
320854,-41,-1333,-16,-67,-2,-103,177,7764,-221,-127,,1333.726359
320860,-41,-1333,-2,-58,8,-110,166,7776,-207,-127,,1333.631883
320868,-17,-1346,-2,-58,8,-110,166,7776,-207,-127,,1346.108837
320874,-12,-1345,37,-63,-10,-106,166,7776,-207,-127,,1345.562336
320882,-11,-1341,-27,-82,-21,-100,162,7771,-216,-127,,1341.31689
320888,-11,-1341,-27,-82,-21,-100,162,7771,-216,-127,,1341.31689
320897,-19,-1350,-34,-71,-36,-92,162,7771,-216,-127,,1350.561735
320903,-26,-1341,-22,-64,-29,-94,163,7775,-211,-127,,1341.432443
320911,-17,-1348,-32,-64,-29,-95,163,7775,-211,-127,,1348.48693
320937,-24,-1335,-22,-63,-86,-81,149,7772,-242,-127,,1335.396945
320944,-34,-1328,-28,-47,-22,-71,149,7772,-242,-127,,1328.730221
320952,-20,-1336,-26,-47,-22,-71,149,7772,-242,-127,,1336.402634
320958,-20,-1336,-26,-41,16,-78,159,7775,-239,-127,,1336.402634
320966,-15,-1340,-36,-48,-10,-78,159,7775,-239,-127,,1340.567417
320972,4,-1336,-53,-48,-10,-78,159,7775,-239,-127,,1337.056842
320978,23,-1333,-10,-51,-43,-82,159,7772,-187,-127,,1333.235913
320987,23,-1333,-10,-47,-53,-59,159,7772,-187,-127,,1333.235913
320993,2,-1351,-29,-39,-48,-54,159,7772,-187,-127,,1351.312695
321001,-11,-1335,-31,-39,-48,-54,158,7781,-260,-126,,1335.405182
321028,-29,-1323,-53,-35,-132,-53,162,7781,-128,-126,,1324.378722
321034,-42,-1337,1,-35,-132,-53,162,7779,-234,-126,,1337.659897
321042,-40,-1333,41,-33,-114,-45,163,7779,-234,-126,,1334.230115
321048,-46,-1342,45,-38,-81,-44,163,7779,-234,-126,,1343.541961
321056,-46,-1342,45,-38,-81,-47,158,7774,-242,-126,,1343.541961
321062,-67,-1315,0,-42,-67,-47,158,7774,-242,-126,,1316.705738
321071,-84,-1335,-14,-35,-35,-54,158,7774,-242,-126,,1337.713347
321077,-84,-1335,-17,-33,0,-64,169,7773,-225,-127,,1337.748108
321085,-75,-1361,-17,-33,0,-64,169,7773,-225,-127,,1363.170936
321091,-34,-1333,-16,-42,26,-76,169,7773,-225,-127,,1333.529527
321118,-38,-1360,39,-26,-24,-71,181,7773,-236,-127,,1361.089637
321126,-38,-1360,39,-27,-67,-79,181,7773,-236,-127,,1361.089637
321132,-48,-1342,67,-48,-88,-78,181,7773,-236,-126,,1344.528542
321140,-75,-1337,44,-76,-97,-76,155,7771,-161,-126,,1339.824615
321146,-107,-1342,-7,-76,-97,-76,155,7771,-161,-126,,1346.277089
321153,-107,-1342,-7,-83,-94,-85,163,7766,-242,-128,,1346.277089
321161,-123,-1323,-3,-73,-33,-106,163,7766,-242,-128,,1328.708772
321167,-92,-1320,-52,-73,-33,-106,163,7766,-242,-128,,1324.223546
321175,-92,-1320,-52,-63,51,-121,155,7781,-235,-128,,1324.223546
321181,-20,-1331,-45,-44,71,-127,155,7781,-235,-128,,1331.910658
321208,17,-1333,17,-53,2,-111,150,7770,-131,-126,,1333.216787
321216,-2,-1350,0,-66,-46,-108,138,7777,-277,-126,,1350.001481
321222,-2,-1350,0,-76,-98,-93,138,7777,-277,-126,,1350.001481
321230,-8,-1364,40,-76,-98,-93,138,7777,-277,-126,,1364.609834
321236,-40,-1342,12,-98,-137,-87,152,7780,-215,-126,,1342.649619
321245,-40,-1342,12,-100,-114,-95,152,7780,-215,-126,,1342.649619
321251,-53,-1335,-20,-100,-114,-95,143,7769,-251,-127,,1336.201332
321259,-62,-1330,-83,-83,-47,-94,143,7769,-251,-127,,1334.02886
321265,-48,-1346,-71,-66,19,-95,143,7769,-251,-127,,1348.725695
321273,-48,-1346,-71,-66,19,-95,149,7784,-267,-126,,1348.725695
321300,8,-1345,31,-51,36,-86,147,7788,-183,-126,,1345.380987
321306,-7,-1358,4,-61,36,-79,147,7788,-183,-126,,1358.023932
321314,-7,-1358,-252,-61,36,-79,157,7795,-244,-125,,1381.201289
321320,-6,-1340,-12,-68,60,-68,157,7795,-244,-125,,1340.067162
321327,15,-1333,-67,-65,26,-67,157,7795,-244,-125,,1334.767021
321335,13,-1331,-88,-65,26,-67,152,7770,-260,-128,,1333.969265
321341,13,-1331,-88,-65,-69,-55,152,7770,-260,-128,,1333.969265
321349,-13,-1341,-103,-57,-126,-46,152,7770,-260,-127,,1345.012639
321355,-52,-1319,-70,-57,-126,-46,161,7771,-236,-127,,1321.879344
321363,-60,-1331,-39,-42,-103,-45,161,7771,-236,-127,,1332.922353
321390,-68,-1339,60,-37,-56,-54,169,7782,-270,-127,,1342.067435
321396,-49,-1328,8,-37,-56,-54,169,7782,-270,-127,,1328.927763
321404,-58,-1328,-27,-41,2,-54,169,7782,-270,-127,,1329.540146
321411,-58,-1328,-27,-19,47,-61,170,7769,-251,-126,,1329.540146
321419,-40,-1328,-72,-19,47,-61,170,7769,-251,-126,,1330.551765
321425,-50,-1330,-82,-19,28,-57,170,7769,-251,-126,,1333.46316
321433,-44,-1339,-57,-25,-23,-70,187,7768,-251,-127,,1340.934749
321439,-44,-1339,-57,-25,-23,-70,187,7768,-251,-127,,1340.934749
321447,-55,-1336,-18,-27,-85,-74,187,7768,-251,-127,,1337.252781
321454,-47,-1336,27,-12,-78,-85,170,7763,-221,-126,,1337.099099
321480,-58,-1348,67,-32,-43,-77,175,7768,-273,-126,,1350.909694
321488,-85,-1340,26,-51,-46,-86,175,7768,-215,-126,,1342.944898
321495,-73,-1319,-1,-46,-27,-104,159,7766,-215,-126,,1321.018925
321501,-77,-1348,-3,-46,-27,-104,159,7766,-215,-126,,1350.200726
321509,-77,-1348,-3,-40,7,-108,173,7786,-225,-126,,1350.200726
321515,-52,-1348,-29,-46,35,-108,173,7786,-225,-126,,1349.31427
321523,-51,-1330,-12,-46,35,-108,173,7786,-225,-126,,1331.031555
321529,-51,-1330,10,-48,19,-119,168,7799,-219,-126,,1331.015026
321538,-24,-1328,10,-48,23,-124,168,7799,-219,-126,,1328.254494
321544,-14,-1345,35,-48,23,-118,168,7799,-219,-126,,1345.528149
321570,-26,-1347,-5,-84,25,-114,163,7772,-328,-127,,1347.260183
321579,-26,-1347,-5,-86,-6,-112,163,7772,-328,-127,,1347.260183
321585,-23,-1347,-26,-86,-6,-112,163,7772,-328,-127,,1347.447216
321593,-8,-1346,-33,-79,4,-108,153,7766,-210,-127,,1346.428238
321599,-11,-1342,-59,-74,20,-108,153,7766,-210,-127,,1343.341356
321607,-11,-1342,-59,-74,20,-108,156,7774,-214,-127,,1343.341356
321613,-6,-1328,-39,-71,29,-101,156,7774,-214,-127,,1328.586091
